"","sample","cell_type","composition","integrate"
"202","MOCC-0004-B","aDC",0.102295828131856,"Y"
"203","MOCC-0004-B","Adipocytes",5.78987228305575e-19,"Y"
"204","MOCC-0004-B","Astrocytes",0,"Y"
"205","MOCC-0004-B","B-cells",0.0431938076879463,"Y"
"206","MOCC-0004-B","Basophils",0.0419046672626605,"Y"
"207","MOCC-0004-B","CD4+ memory T-cells",0.0218467937298094,"Y"
"208","MOCC-0004-B","CD4+ naive T-cells",0,"Y"
"209","MOCC-0004-B","CD4+ T-cells",0,"Y"
"210","MOCC-0004-B","CD4+ Tcm",0,"Y"
"211","MOCC-0004-B","CD4+ Tem",1.2408735481821e-18,"Y"
"212","MOCC-0004-B","CD8+ naive T-cells",0.00484087073501673,"Y"
"213","MOCC-0004-B","CD8+ T-cells",0.0416521696664114,"Y"
"214","MOCC-0004-B","CD8+ Tcm",0.103340407424982,"Y"
"215","MOCC-0004-B","CD8+ Tem",0.0471767969395618,"Y"
"216","MOCC-0004-B","cDC",0.0655566519122178,"Y"
"217","MOCC-0004-B","Chondrocytes",0,"Y"
"218","MOCC-0004-B","Class-switched memory B-cells",0.0208793965010406,"Y"
"219","MOCC-0004-B","CLP",0.0480685205810952,"Y"
"220","MOCC-0004-B","CMP",0,"Y"
"221","MOCC-0004-B","DC",0.0021860485656136,"Y"
"222","MOCC-0004-B","Endothelial cells",0,"Y"
"223","MOCC-0004-B","Eosinophils",0.00437762122531684,"Y"
"224","MOCC-0004-B","Epithelial cells",0.652290997521077,"Y"
"225","MOCC-0004-B","Erythrocytes",0.000879764486116262,"Y"
"226","MOCC-0004-B","Fibroblasts",0,"Y"
"227","MOCC-0004-B","GMP",0.0106517864951497,"Y"
"228","MOCC-0004-B","Hepatocytes",0,"Y"
"229","MOCC-0004-B","HSC",0.0120562368724355,"Y"
"230","MOCC-0004-B","iDC",0.0692444824735149,"Y"
"231","MOCC-0004-B","Keratinocytes",0.356145449182134,"Y"
"232","MOCC-0004-B","ly Endothelial cells",0,"Y"
"233","MOCC-0004-B","Macrophages",0.0980931020432147,"Y"
"234","MOCC-0004-B","Macrophages M1",0.0745355662643596,"Y"
"235","MOCC-0004-B","Macrophages M2",0.0181570269187399,"Y"
"236","MOCC-0004-B","Mast cells",0.00246158367462339,"Y"
"237","MOCC-0004-B","Megakaryocytes",0,"Y"
"238","MOCC-0004-B","Melanocytes",3.2344547299846e-19,"Y"
"239","MOCC-0004-B","Memory B-cells",0,"Y"
"240","MOCC-0004-B","MEP",0.0187329105732139,"Y"
"241","MOCC-0004-B","Mesangial cells",0.0467648127115484,"Y"
"242","MOCC-0004-B","Monocytes",0.0397646393883349,"Y"
"243","MOCC-0004-B","MPP",3.41045392252631e-19,"Y"
"244","MOCC-0004-B","MSC",6.90079405187704e-19,"Y"
"245","MOCC-0004-B","mv Endothelial cells",1.26066212194657e-18,"Y"
"246","MOCC-0004-B","Myocytes",0.00561149598372351,"Y"
"247","MOCC-0004-B","naive B-cells",0.00944034543590925,"Y"
"248","MOCC-0004-B","Neurons",0.000117962834065326,"Y"
"249","MOCC-0004-B","Neutrophils",0.00378679002399453,"Y"
"250","MOCC-0004-B","NK cells",0.00758691661031263,"Y"
