"","Row.names","anno","logFC_RNA","pvalue_RNA","logFC_protein","pvalue_protein","group","size","alpha"
"537","CCDC124",NA,-0.0329261112452383,0.905041445834657,-0.314683588751204,0.23375513294862,"stable",0.5,0.1
"538","CCDC186",NA,-0.314578801434142,0.131255458538777,-0.220468103202247,0.370884666184327,"stable",0.5,0.1
"539","CCDC25",NA,0.0556858819907804,0.793609615311997,-0.0577164668828251,0.915830612892916,"stable",0.5,0.1
"540","CCDC43",NA,0.483905641607353,0.0252989284871749,0.0567077469036918,0.5214132595601,"stable",0.5,0.1
"541","CCDC47",NA,-0.227728225579248,0.272245172887028,0.102628132303371,0.597197091072,"stable",0.5,0.1
"542","CCDC50",NA,0.183854539177735,0.437827200386747,-0.0739787595345104,0.761912955252238,"stable",0.5,0.1
"543","CCDC51",NA,0.699171903462162,0.0128913866605081,-0.283244152719101,0.783480294021477,"stable",0.5,0.1
"544","CCDC57",NA,0.946273428318368,0.0260159399398748,-0.33588832611236,0.262593057137945,"stable",0.5,0.1
"545","CCDC6",NA,-0.32382776453923,0.184975006604665,-0.218611408271268,0.137103243138387,"stable",0.5,0.1
"546","CCDC80",NA,0.200069305624111,0.671826587520246,-0.166734517772071,0.512300342558165,"stable",0.5,0.1
"547","CCDC85B",NA,-0.122818487337008,0.672946600356966,0.278759251200642,0.49432678603428,"stable",0.5,0.1
"548","CCDC88A",NA,0.961107392008417,0.021505247632222,0.144518308540931,0.49432678603428,"stable",0.5,0.1
"549","CCDC91",NA,0.206958150335791,0.475419835291203,-0.225211053357945,0.250776024271673,"stable",0.5,0.1
"550","CCDC97",NA,-0.402328168467156,0.112755660493828,0.309475579221509,0.12282308174933,"stable",0.5,0.1
"551","CCM2",NA,-0.1879538299511,0.530117496722291,0.113121319036918,0.393912985760967,"stable",0.5,0.1
"552","CCNA2",NA,0.660937650058264,0.0251432943389326,0.0912605820224719,0.838096877912362,"stable",0.5,0.1
"553","CCNH",NA,0.372564616586828,0.169634287526276,-0.026931648929374,0.994378305964523,"stable",0.5,0.1
"554","CCNL1",NA,0.29626248601999,0.273236369172714,0.352315001866774,0.054416623392506,"stable",0.5,0.1
"555","CCNT1",NA,-0.0340852620683265,0.828677411904553,-0.322165281028892,0.192412892515574,"stable",0.5,0.1
"556","CCNY",NA,0.0368163951034827,0.800723152944315,-0.169925247155698,0.409735372122395,"stable",0.5,0.1
"557","CCPG1",NA,0.409831761596933,0.190369690576533,-0.414085275879615,0.0403322575536146,"stable",0.5,0.1
"558","CCS",NA,0.114583276472565,0.570940029392504,-0.0818750427239165,0.893505111345828,"stable",0.5,0.1
"559","CCT2",NA,0.37298121733476,0.168805192499656,-0.0104583246404494,0.577787943396315,"stable",0.5,0.1
"560","CCT3",NA,0.146946521473145,0.424889496062865,-0.174750304688604,0.106638141562829,"stable",0.5,0.1
"561","CCT4",NA,0.512298712985848,0.117934430509091,-0.178252477139647,0.119441207894369,"stable",0.5,0.1
"562","CCT5",NA,0.330635785523837,0.209921239397147,-0.0223441427945425,0.597197091072,"stable",0.5,0.1
"563","CCT6A",NA,0.145893904650376,0.33564628616281,0.0287820661284109,0.646968643000891,"stable",0.5,0.1
"564","CCT7",NA,0.235512517113696,0.232441637251118,-0.0845598245345104,0.468011596582261,"stable",0.5,0.1
"565","CCT8",NA,0.0237469447230573,0.888207482244822,-0.0957089728218299,0.23375513294862,"stable",0.5,0.1
"566","CCZ1",NA,0.590372236615375,0.0613323636434885,0.105891727232745,0.677627633048823,"stable",0.5,0.1
"567","CCZ1B",NA,0.27789942525902,0.351964164889415,0.105891727232745,0.677627633048823,"stable",0.5,0.1
"568","CD109",NA,-0.416975938700444,0.288989722008308,-0.102852396910112,0.607011571232738,"stable",0.5,0.1
"569","CD14",NA,0.456759006070773,0.155962979936544,0.319874156929374,0.126279294462557,"stable",0.5,0.1
"570","CD151",NA,-0.500075151356859,0.0480514737748156,-0.0133506198138041,0.871263677385501,"stable",0.5,0.1
"571","CD163",NA,0.567857364363899,0.192048970123931,0.302042703969502,0.245008823079876,"stable",0.5,0.1
"572","CD276",NA,-0.41383418387715,0.249200260421701,-0.0635411567495987,0.904658441611206,"stable",0.5,0.1
"573","CD2AP",NA,-0.26310683187959,0.277651846717709,-0.181036444303371,0.370884666184327,"stable",0.5,0.1
"574","CD2BP2",NA,-0.32258750015712,0.0209054840266089,-0.391237598516854,0.14470772494323,"stable",0.5,0.1
"575","CD36",NA,1.26840878043606,0.0910052671744135,0.0830909325232745,0.657125126178161,"stable",0.5,0.1
"576","CD40",NA,0.437162524625832,0.183513427748949,0.472167614600321,0.0255146209601719,"stable",0.5,0.1
"577","CD44",NA,-0.0255068153683561,0.907559794515399,0.325309415778491,0.156714851993071,"stable",0.5,0.1
"578","CD46",NA,0.113910625861295,0.71177618313096,0.324039366248796,0.386142441588493,"stable",0.5,0.1
"579","CD47",NA,0.744583738019811,0.0236352104862868,0.133297724898876,0.313670356639103,"stable",0.5,0.1
"580","CD48",NA,2,0.000678435655161777,0.806729121110754,0.0101194837982262,"double_sig",2.4,0.4
"581","CD53",NA,0.715141240041021,0.068261426117858,0.397950880292135,0.197265085405887,"stable",0.5,0.1
"582","CD55",NA,0.365043520088416,0.466349058171259,0.060973813611557,0.849123586022121,"stable",0.5,0.1
"583","CD58",NA,0.928082286884636,0.0795523366399939,-0.0387319811203852,0.971897110391705,"stable",0.5,0.1
"584","CD59",NA,-0.145194434843244,0.582955712192586,-0.242015021900482,0.5214132595601,"stable",0.5,0.1
"585","CD63",NA,0.6540210586543,0.0710362903408632,-0.23914667282504,0.442491371739989,"stable",0.5,0.1
"586","CD74",NA,0.637303359384293,0.18302363612624,0.707070781160514,0.00141413414488761,"stable",0.5,0.1
"587","CD81",NA,-0.850775941858054,0.00273209027205571,0.238023750720706,0.577787943396315,"stable",0.5,0.1
"588","CD82",NA,-0.535849170556765,0.175513406411026,0.0924746385377207,0.783480294021477,"stable",0.5,0.1
"589","CD9",NA,0.247718526977245,0.53232940856137,-0.0623187578105939,0.772674676174112,"stable",0.5,0.1
"590","CDC123",NA,0.187836051176039,0.338269706193101,0.174057234770465,0.607011571232738,"stable",0.5,0.1
"591","CDC16",NA,0.0473821017358668,0.729809682210261,0.073136859741573,0.558680877475579,"stable",0.5,0.1
"592","CDC23",NA,-0.00479989053484306,0.975961770171175,-0.0693140526083467,0.558680877475579,"stable",0.5,0.1
"593","CDC27",NA,-0.0122818967937391,0.924052515479068,0.0625620136918138,0.783480294021477,"stable",0.5,0.1
"594","CDC37",NA,-0.130409902963586,0.631079747325647,0.200427222223114,0.378466214791744,"stable",0.5,0.1
"595","CDC37L1",NA,0.346472990293701,0.225200827820415,0.26793596335313,0.0723863149742441,"stable",0.5,0.1
"596","CDC40",NA,-0.0293275084133249,0.869017734737777,-0.0872645263691814,0.616897443342454,"stable",0.5,0.1
"597","CDC42",NA,0.0974356236969904,0.781363510269732,-0.0488828838731942,0.871263677385501,"stable",0.5,0.1
"598","CDC42BPA",NA,-0.617582602678922,0.116802590311383,-0.162691650611557,0.327398597440514,"stable",0.5,0.1
"599","CDC42BPB",NA,-0.808258373454016,0.0728028155962994,-0.331593191552167,0.0133954818998955,"stable",0.5,0.1
"600","CDC42BPG",NA,-0.539391014760914,0.146140316165909,-0.0861668147351525,0.805215295518585,"stable",0.5,0.1
"601","CDC42EP1",NA,-0.649648123988631,0.078768621019292,0.0785551385329053,0.960663764547509,"stable",0.5,0.1
"602","CDC5L",NA,0.00590904679940306,0.96937001839556,-0.105352291311396,0.11613273099129,"stable",0.5,0.1
"603","CDC73",NA,0.0222249408940826,0.916985405153509,-0.0309613229550562,0.904658441611206,"stable",0.5,0.1
"604","CDCP1",NA,-0.437451805552459,0.260420612538215,0.170553272678973,0.5214132595601,"stable",0.5,0.1
"605","CDH1",NA,-0.619469405243352,0.062632153080104,0.0672999133836276,0.783480294021477,"stable",0.5,0.1
"606","CDH11",NA,-0.499113387773815,0.28637530694844,0.00747168547833066,0.772674676174112,"stable",0.5,0.1
"607","CDH3",NA,-0.721162837793918,0.103983190676865,0.367824676033708,0.178383439622407,"stable",0.5,0.1
"608","CDIPT",NA,-0.238195184351623,0.405091103876981,0.00545796792776893,0.783480294021477,"stable",0.5,0.1
"609","CDK1","Cell cycle",0.959833206758914,0.0112981305837823,0.415939831025682,0.0351439162037069,"double_sig",1.1517998481107,0.4
"610","CDK11B",NA,0.107052081038548,0.793687198723181,0.164810542425361,0.425929640351565,"stable",0.5,0.1
"611","CDK13",NA,0.14333686987019,0.486975293867861,-0.122083244908507,0.409735372122395,"stable",0.5,0.1
"612","CDK16",NA,-0.346005677562059,0.117246112387756,0.269545668812199,0.156714851993071,"stable",0.5,0.1
"613","CDK2",NA,0.377471626771658,0.0436859082073005,0.211125759157303,0.287366372365905,"stable",0.5,0.1
"614","CDK4",NA,0.478284144301734,0.178808844371041,0.383615463738363,0.0351439162037069,"stable",0.5,0.1
"615","CDK5",NA,0.319924336371976,0.272256748756444,-0.0567590463081862,0.729910538026043,"stable",0.5,0.1
"616","CDK6",NA,0.000737841839808954,0.998267094772148,0.0958165135698234,0.485468116473149,"stable",0.5,0.1
"617","CDK7",NA,0.397938140136742,0.164739821647477,-0.13052434176244,0.222872813832662,"stable",0.5,0.1
"618","CDK9",NA,-0.273349391998917,0.183095849806094,0.0632893150465489,0.577787943396315,"stable",0.5,0.1
"619","CDKN2A","Cell cycle",1.08008012323124,0.00580767376972538,0.649058511495987,0.00932501832214525,"double_sig",1.29609614787748,0.4
"620","CDKN2AIP",NA,0.183464435338889,0.511851861118609,-0.110229612173355,0.262593057137945,"stable",0.5,0.1
"621","CDKN2AIPNL",NA,0.877016353433211,0.0445549213968111,-0.123664161672552,0.794327833636499,"stable",0.5,0.1
"622","CDKN2B",NA,-0.0253909201659583,0.945322337468029,0.649058511495987,0.00932501832214525,"stable",0.5,0.1
"623","CDKN2C",NA,0.113845350913263,0.769888456941262,-0.505996066338684,0.0562087485437732,"stable",0.5,0.1
"624","CDS1",NA,-0.538489357336287,0.0505289534538613,0.118148751929374,0.434164876240906,"stable",0.5,0.1
"625","CDS2",NA,-0.04552908955426,0.780611407151097,-0.100379475764045,0.262593057137945,"stable",0.5,0.1
"626","CDV3",NA,-0.139402685066309,0.679537822051922,-0.202058487223114,0.434164876240906,"stable",0.5,0.1
"627","CEACAM5",NA,0.701942497634186,0.350021690114929,0.912725138711076,0.129810778800504,"stable",0.5,0.1
"628","CEACAM6",NA,0.464966065764581,0.495283860428289,0.146858602988764,0.667345336893643,"stable",0.5,0.1
"629","CEBPZ",NA,0.0336013871317708,0.862595876096284,-0.0728841407078651,0.503271182564458,"stable",0.5,0.1
"630","CELF1",NA,-0.24108559377898,0.388245971892031,0.0463321570979133,0.577787943396315,"stable",0.5,0.1
"631","CELF2",NA,0.000889478092850454,0.998039193811516,0.126334665110754,0.442491371739989,"stable",0.5,0.1
"632","CELSR2",NA,-0.93453026233424,0.0674027521401619,-0.462128315743178,0.0316366904442098,"stable",0.5,0.1
"633","CENPB",NA,-0.220655347515198,0.472064109170291,-0.0238774387463885,0.949438223121912,"stable",0.5,0.1
"634","CENPF",NA,0.278469720888557,0.501248983359146,0.296230950250401,0.228267785149198,"stable",0.5,0.1
"635","CEP170",NA,0.191664771492652,0.471059874261786,0.00331542516051365,0.915830612892916,"stable",0.5,0.1
"636","CEP170B",NA,-0.700693817521131,0.102931962763223,0.0120552515714286,0.938222707982214,"stable",0.5,0.1
"637","CEP170P1",NA,0.191664771492652,0.471059874261786,0.00356517532905298,0.927019435030443,"stable",0.5,0.1
"638","CEP55",NA,0.546678334138407,0.0583336771648576,0.344436970478331,0.228267785149198,"stable",0.5,0.1
